City,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Pevek,69.7008,170.3133,47.71,47.71,66,0,12.03,RU
Whitehorse,60.7161,-135.0538,64.98,66.02,61,75,5.75,CA
Tilichiki,60.4667,166.1,54.61,54.61,65,78,4.38,RU
Bredasdorp,-34.5322,20.0403,42.51,42.51,83,3,3.65,ZA
Bonfim,3.0833,-59.95,78.28,78.28,80,46,4.88,BR
Ostrovnoy,68.0531,39.5131,56.1,56.1,79,87,5.35,RU
Lebu,-37.6167,-73.65,47.01,47.01,83,95,5.3,CL
Saint-Louis,16.3333,-15.0,82.04,82.04,78,100,14.99,SN
Thinadhoo,0.5333,72.9333,80.73,80.73,76,100,19.69,MV
Kapaa,22.0752,-159.319,82.94,85.98,62,0,14.97,US
Pflugerville,30.4394,-97.62,100.06,103.23,30,0,6.91,US
Atuona,-9.8,-139.0333,76.87,76.87,75,9,14.41,PF
Grindavik,63.8424,-22.4338,48.67,49.95,81,75,11.5,IS
Cape Town,-33.9258,18.4232,50.32,52.92,80,0,6.91,ZA
Punta Arenas,-53.15,-70.9167,42.91,42.91,75,75,13.8,CL
Lumberton,34.6182,-79.0086,89.73,95.31,47,62,10.65,US
Sørland,67.667,12.6934,53.46,53.46,87,98,10.49,NO
Hilo,19.7297,-155.09,82.53,84.27,63,20,12.66,US
La Grande,45.3246,-118.0877,92.25,97.02,17,72,10.04,US
Tarauacá,-8.1614,-70.7656,81.88,81.88,61,99,1.99,BR
San Rafael,-34.6177,-68.3301,54.43,54.43,32,31,5.88,AR
De Aar,-30.6497,24.0123,39.87,39.87,54,0,12.1,ZA
Swift Current,50.2834,-107.8014,85.01,85.01,42,20,4.61,CA
Helong,42.5397,128.9972,72.68,72.68,99,100,1.3,CN
Port Elizabeth,-33.918,25.5701,49.32,50.29,83,0,9.22,ZA
Nālūt,30.3333,10.85,83.01,83.01,30,1,11.97,LY
Ambulu,-8.345,113.6058,70.57,70.57,90,33,2.64,ID
Vaini,-21.2,-175.2,78.96,78.96,94,40,6.91,TO
Khatanga,71.9667,102.5,44.76,44.76,73,100,7.99,RU
Jamestown,42.097,-79.2353,77.38,78.19,48,20,8.05,US
Busselton,-33.65,115.3333,57.52,57.52,82,86,27.2,AU
Bluff,-46.6,168.3333,45.81,45.81,76,51,15.17,NZ
Khasan,42.4308,130.6434,72.0,72.0,100,100,3.8,RU
Bethel,41.3712,-73.414,80.26,83.25,59,86,6.46,US
Clyde River,70.4692,-68.5914,37.63,37.63,93,75,8.05,CA
Sitka,57.0531,-135.33,57.09,57.09,88,100,5.75,US
Rikitea,-23.1203,-134.9692,72.18,72.18,74,100,22.57,PF
Lerwick,60.1545,-1.1494,53.6,53.6,82,41,9.17,GB
Mar del Plata,-38.0023,-57.5575,55.18,56.08,85,0,10.0,AR
Taylorville,39.5489,-89.2945,80.58,81.93,69,75,11.5,US
Bengkulu,-3.8004,102.2655,75.02,75.02,88,90,4.18,ID
Mauá,-23.6678,-46.4614,57.85,62.4,87,5,3.8,BR
Taltal,-25.4,-70.4833,59.23,59.23,82,24,5.28,CL
Ushuaia,-54.8,-68.3,38.86,38.86,87,40,8.05,AR
Nanortalik,60.1432,-45.2371,47.23,47.23,91,70,7.31,GL
Puerto Ayora,-0.7393,-90.3518,72.55,75.16,87,85,5.99,EC
Hobyo,5.3505,48.5268,75.36,75.36,86,0,23.98,SO
Narsaq,60.9167,-46.05,57.42,57.42,80,84,4.09,GL
Opuwo,-18.0607,13.84,51.13,51.13,49,4,7.54,NA
Youghal,51.95,-7.8506,59.45,60.01,90,95,6.17,IE
Hong Kong,22.2855,114.1577,84.2,85.32,82,5,1.99,HK
Longyearbyen,78.2186,15.6401,49.84,49.84,76,0,11.5,SJ
Babol,36.5513,52.679,76.69,76.69,77,33,2.64,IR
Dikson,73.5069,80.5464,40.87,40.87,94,100,14.58,RU
Mataura,-46.1927,168.8643,45.48,45.48,86,24,5.75,NZ
Albany,42.6001,-73.9662,78.4,81.18,59,99,4.63,US
Flinders,-34.5833,150.8552,55.92,58.05,79,79,7.0,AU
Carnarvon,-24.8667,113.6333,69.6,69.6,57,100,10.25,AU
Şuraabad,40.8192,49.4687,78.3,78.3,68,4,6.64,AZ
Panubigan,7.4281,123.3466,79.16,79.16,82,100,5.97,PH
Mwaro Province,-3.5,29.6667,56.68,56.68,83,54,3.65,BI
Fort-Shevchenko,44.5086,50.263,80.01,80.01,63,2,10.51,KZ
Sanmenxia,34.7747,111.1814,76.78,76.78,86,0,7.14,CN
Chokurdakh,70.6333,147.9167,70.77,70.77,47,100,12.46,RU
Severo-Kuril'sk,50.6789,156.125,53.19,53.19,88,100,10.09,RU
Bolobo,-2.1667,16.2333,75.16,75.16,57,14,4.45,CD
Fairbanks,64.8378,-147.7164,61.18,63.3,87,100,4.61,US
Qaanaaq,77.484,-69.3632,46.33,46.33,60,66,1.41,GL
Kavaratti,10.5669,72.642,80.44,80.44,80,100,23.89,IN
Yucca Valley,34.1142,-116.4322,89.29,94.14,41,59,11.99,US
Isangel,-19.55,169.2667,75.04,75.04,84,96,14.7,VU
Ixtapa,20.7,-105.2,85.23,87.22,74,100,6.91,MX
Wasilla,61.5814,-149.4394,64.83,66.52,71,75,5.75,US
Mossamedes,-15.1961,12.1522,57.51,57.51,82,12,11.3,AO
Aksarka,66.5606,67.7975,47.7,47.7,86,33,4.65,RU
Salme,28.0369,85.0942,64.09,64.09,96,100,0.54,NP
Alta Floresta,-9.8756,-56.0861,82.22,82.22,51,1,2.3,BR
George,-33.963,22.4617,42.35,42.35,87,0,4.61,ZA
Diré,12.2833,-10.9667,74.32,74.32,94,98,1.21,ML
Olinda,-8.0089,-34.8553,78.53,78.53,78,40,9.22,BR
Takoradze,4.8845,-1.7554,73.8,73.8,83,74,12.71,GH
Torbay,47.6666,-52.7314,72.37,73.76,68,20,21.85,CA
Kushiro,42.975,144.3747,67.15,67.15,82,75,5.75,JP
Asău,46.4333,26.4,63.52,63.52,94,95,6.2,RO
Rawson,-43.3002,-65.1023,48.58,48.58,65,97,6.76,AR
Pirapora,-17.345,-44.9419,74.52,74.52,34,3,2.1,BR
Kavieng,-2.5744,150.7967,83.55,83.55,73,94,13.6,PG
Vestmannaeyjar,63.4427,-20.2734,50.59,50.59,72,64,18.23,IS
Verkhnyaya Inta,65.9811,60.3094,54.41,54.41,65,9,10.31,RU
Øksfjord,70.2396,22.3479,57.34,57.38,76,96,2.17,NO
Esperance,-33.8667,121.9,47.07,47.07,63,0,15.01,AU
Mahajanga,-15.7167,46.3167,71.62,71.62,73,20,2.3,MG
Seddon,-37.8068,144.8916,47.77,50.52,77,40,4.0,AU
Bambous Virieux,-20.3428,57.7575,70.05,70.21,73,75,11.5,MU
Olovyannaya,50.95,115.5667,66.47,66.47,61,44,4.9,RU
Hithadhoo,-0.6,73.0833,80.47,80.47,74,100,16.08,MV
Butaritari,3.0707,172.7902,81.34,81.34,78,58,13.89,KI
Berëzovka,53.7214,25.4993,61.86,61.86,91,100,10.87,BY
Tuktoyaktuk,69.4541,-133.0374,62.6,62.6,59,40,5.75,CA
Mayo,38.8876,-76.5119,75.52,79.07,85,100,3.0,US
Paamiut,61.994,-49.6678,46.53,46.53,83,73,5.44,GL
Acapulco de Juárez,16.8634,-99.8901,87.62,87.62,70,40,12.66,MX
Kumul,42.8,93.45,81.05,81.05,29,50,6.44,CN
Kahului,20.8947,-156.47,87.82,87.82,40,20,19.57,US
Boca do Acre,-8.7522,-67.3978,82.45,82.45,52,38,2.93,BR
Nouadhibou,20.931,-17.0347,75.18,75.18,78,16,9.22,MR
Hobart,-42.8794,147.3294,49.33,51.26,73,75,5.75,AU
Napa,38.4832,-122.3344,77.95,91.04,46,94,8.46,US
Whitianga,-36.8333,175.7,55.94,55.94,61,3,7.27,NZ
Qaqortoq,60.7167,-46.0333,47.97,47.97,87,74,3.02,GL
Whitecourt,54.1502,-115.6855,69.04,69.04,68,100,11.5,CA
Pemberton,50.3164,-122.8027,96.49,96.49,20,1,6.42,CA
Sayyan,15.1718,44.3244,59.72,59.72,75,16,3.67,YE
Port Lincoln,-34.7333,135.8667,53.98,53.98,77,3,12.48,AU
Kargasok,59.0556,80.8572,51.01,51.01,78,100,10.87,RU
Las Cruces,32.3123,-106.7783,96.12,101.05,24,0,9.22,US
Castro,-24.7911,-50.0119,53.8,53.8,75,0,1.41,BR
Guerrero Negro,27.9769,-114.0611,84.18,84.18,45,13,13.29,MX
Avarua,-21.2078,-159.775,78.85,78.85,65,20,16.11,CK
Sabzawār,36.2126,57.6819,79.88,79.88,34,0,13.8,IR
Prado,-17.3411,-39.2208,70.5,70.5,91,61,7.36,BR
Bara,10.3744,10.7288,74.1,74.1,89,94,7.02,NG
Yinchuan,38.4681,106.2731,77.27,77.27,64,94,11.79,CN
Ancud,-41.8697,-73.8203,44.22,44.22,82,100,0.98,CL
Zhezkazgan,47.8043,67.7144,69.13,69.13,46,74,8.25,KZ
Sitrah,26.1547,50.6206,93.87,94.35,71,0,8.05,BH
Richards Bay,-28.783,32.0377,62.01,62.01,73,100,9.8,ZA
Kathu,7.9178,98.3332,86.76,86.76,69,99,10.54,TH
Oromocto,45.8351,-66.4792,82.11,82.33,54,40,6.91,CA
Urshel'skiy,55.6783,40.2169,56.32,56.32,68,88,3.49,RU
Saint Paul Harbor,57.79,-152.4072,60.31,60.31,77,100,0.0,US
Lima,-12.0432,-77.0282,61.9,61.9,80,100,10.36,PE
Baiersbronn,48.5,8.3833,65.39,66.2,61,10,2.01,DE
Kapoeta,4.7717,33.5903,71.08,71.08,82,42,2.71,SS
Imeni Morozova,59.9757,31.0376,60.94,60.94,77,100,4.14,RU
Ossora,59.2353,163.0719,58.05,58.05,73,48,9.91,RU
Kruisfontein,-34.0033,24.7314,45.46,45.46,80,1,7.2,ZA
Zaozyornoye,45.1582,33.2787,74.43,74.43,69,9,6.11,UA
Kimbe,-5.5502,150.1429,85.23,85.23,64,72,3.06,PG
Walvis Bay,-22.9575,14.5053,54.55,55.09,71,0,6.91,NA
Shubarkuduk,49.1447,56.4872,72.03,72.03,49,93,4.83,KZ
Pevek,69.7008,170.3133,47.71,47.71,66,0,12.03,RU
Lasem,-6.6922,111.4527,74.53,74.53,87,85,5.17,ID
Pisco,-13.7,-76.2167,62.65,62.65,77,20,8.05,PE
Antalaha,-14.9003,50.2788,66.54,66.54,92,34,5.73,MG
Shakiso,5.75,38.9167,59.32,59.32,90,100,2.42,ET
Yellowknife,62.456,-114.3525,64.92,64.92,45,40,4.61,CA
Esim,4.8699,-2.2405,74.48,74.48,82,79,12.71,GH
Keflavik,64.0049,-22.5624,48.63,49.91,81,75,11.5,IS
Tautira,-17.7333,-149.15,76.86,76.86,70,62,23.49,PF
Cidreira,-30.1811,-50.2056,59.29,59.29,85,86,10.2,BR
Redcar,54.6166,-1.06,58.87,60.35,58,96,1.99,GB
Pine Bluff,34.2284,-92.0032,78.73,78.73,83,20,4.61,US
Saint-Ambroise,48.5501,-71.3324,82.51,82.72,55,55,8.75,CA
Nishifukuma,33.7667,130.4667,86.04,86.29,68,10,6.26,JP
Thompson,55.7435,-97.8558,64.56,64.56,63,75,0.0,CA
Beyneu,45.3167,55.2,81.14,81.14,41,4,9.51,KZ
Saint-Augustin,51.226,-58.6502,71.35,71.35,56,85,9.17,CA
Tazovsky,67.4667,78.7,43.23,43.23,81,6,10.67,RU
Chapais,49.7834,-74.8492,78.58,78.58,63,98,6.02,CA
Haines Junction,60.7522,-137.5108,62.55,62.55,63,95,5.75,CA
Mandalgovi,45.7625,106.2708,67.51,67.51,49,99,12.12,MN
Wajima,37.4,136.9,85.24,85.24,71,97,3.71,JP
São Filipe,14.8961,-24.4956,75.79,75.79,75,42,5.64,CV
Kwang Binh,17.4833,106.6,80.17,80.17,81,8,3.47,VN
Turukhansk,65.8167,87.9833,46.4,46.4,76,99,14.99,RU
Pasni,25.2631,63.471,81.19,81.19,85,94,11.5,PK
Harper,4.375,-7.7169,75.18,75.18,81,100,13.42,LR
Stornoway,58.2093,-6.3865,47.82,51.93,89,43,2.3,GB
Ekuvukeni,-28.4675,30.1551,47.73,47.73,71,100,5.17,ZA
Ilulissat,69.2167,-51.1,60.82,60.82,39,40,16.11,GL
Arraial do Cabo,-22.9661,-42.0278,66.06,66.06,72,0,3.44,BR
Rabo de Peixe,37.8,-25.5833,71.11,71.11,78,75,3.44,PT
Tottori-shi,35.5,134.2333,86.07,86.07,62,75,6.91,JP
Katherine,-14.4667,132.2667,61.12,61.12,67,80,5.75,AU
Bilma,18.6853,12.9164,88.59,88.59,42,88,3.02,NE
Praia,14.9215,-23.5087,77.54,77.54,73,75,13.8,CV
Lavrentiya,65.5833,-171.0,48.38,48.38,69,52,3.42,RU
Umluj,25.0213,37.2685,85.5,85.5,57,39,8.25,SA
Souillac,-20.5167,57.5167,70.18,70.18,73,75,11.5,MU
Otane,-39.8833,176.6333,51.01,51.01,70,0,2.98,NZ
Mogadishu,2.0371,45.3438,75.87,75.87,84,13,16.89,SO
Vila Velha,-20.3297,-40.2925,69.94,71.55,83,75,6.91,BR
Mwanza,-2.5167,32.9,69.44,69.44,75,86,3.0,TZ
Zyryanka,65.75,150.85,71.69,71.69,44,57,21.63,RU
Fort Nelson,58.8053,-122.7002,69.39,69.39,64,75,6.91,CA
Media Luna,20.1419,-77.435,83.23,83.23,77,60,1.88,CU
Talnakh,69.4865,88.3972,43.21,43.21,70,20,16.02,RU
Ipilan,8.8431,117.9033,79.05,79.05,86,100,9.08,PH
Ponta do Sol,32.6667,-17.1,70.54,72.23,79,3,2.37,PT
Ivdel',60.6911,60.4206,56.89,56.89,80,100,4.45,RU
Te Anau,-45.4167,167.7167,42.73,42.73,95,83,6.6,NZ
Saint-Philippe,-21.3585,55.7679,67.59,67.59,80,62,14.52,RE
Saskylakh,71.9167,114.0833,44.62,44.62,82,99,11.3,RU
Fortuna,40.5982,-124.1573,65.8,67.93,81,0,12.66,US
Great Bend,38.3645,-98.7648,93.33,93.33,49,20,6.91,US
Monrovia,6.3005,-10.7969,76.77,76.77,81,100,9.31,LR
Bowling Green,36.9903,-86.4436,78.89,79.38,86,100,9.22,US
Poum,-20.2333,164.0167,72.36,72.36,71,66,12.1,NC
Angoche,-16.2325,39.9086,70.93,70.93,81,5,3.98,MZ
Saint Anthony,45.0205,-93.218,83.35,85.62,62,100,17.27,US
Namatanai,-3.6667,152.4333,83.23,83.23,72,94,8.5,PG
Hermanus,-34.4187,19.2345,48.78,48.78,72,2,6.64,ZA
Sapele,5.8941,5.6767,73.56,73.56,91,100,4.09,NG
Tessalit,20.1986,1.0114,95.76,95.76,17,82,6.67,ML
Buala,-8.145,159.5921,84.54,84.54,71,14,12.3,SB
Tasiilaq,65.6145,-37.6368,48.36,48.36,50,43,5.53,GL
Inhambane,-23.865,35.3833,66.25,66.25,82,6,5.77,MZ
Ahipara,-35.1667,173.1667,56.79,56.79,61,10,7.29,NZ
San Patricio,28.017,-97.5169,91.65,97.52,50,50,17.31,US
Ketchikan,55.3422,-131.6461,63.07,63.07,94,100,6.91,US
Pangnirtung,66.1451,-65.7125,48.76,48.76,80,99,1.81,CA
Khandyga,62.6667,135.6,76.42,76.42,56,48,4.16,RU
Zhalantun,48.0,122.7167,70.88,70.88,84,92,5.44,CN
Solnechnyy,50.7214,136.6319,73.69,73.69,75,35,6.06,RU
Teguise,29.0605,-13.564,70.02,70.02,83,20,19.57,ES
Nentón,15.8,-91.75,74.57,74.57,88,99,3.58,GT
El Suyatal,14.5167,-87.2167,80.64,80.64,60,68,4.52,HN
Anadyr,64.75,177.4833,57.0,57.7,62,0,8.95,RU
Hofn,64.2539,-15.2082,52.41,52.41,62,82,10.38,IS
Līsakovsk,52.5369,62.4936,61.09,61.09,87,14,5.19,KZ
Morón,-34.6534,-58.6198,56.71,58.89,77,2,3.96,AR
Berdigestyakh,62.0989,126.6992,69.08,69.08,85,99,8.25,RU
Malé,4.1748,73.5089,82.35,82.35,78,100,19.57,MV
Husavik,66.0449,-17.3389,42.26,42.26,91,100,14.54,IS
Humaitá,-7.5061,-63.0208,85.41,85.41,40,35,1.28,BR
Srednekolymsk,67.45,153.6833,72.95,72.95,35,83,14.76,RU
Bambanglipuro,-7.95,110.2833,71.24,71.24,89,24,3.47,ID
Venice,27.0998,-82.4543,91.38,94.14,65,20,8.05,US
Payo,-3.7508,103.6372,72.03,72.03,93,99,2.01,ID
Salalah,17.0151,54.0924,77.09,77.09,88,75,8.05,OM
Amapá,1.0,-52.0,73.4,73.4,96,87,2.62,BR
Shizukuishi,39.6833,140.9833,81.84,81.84,74,97,3.51,JP
Klaksvík,62.2266,-6.589,50.4,50.4,85,28,12.57,FO
Mastic Beach,40.7668,-72.8521,79.29,81.99,60,0,6.91,US
Karasburg,-28.0167,18.75,45.59,45.59,30,0,10.09,NA
New Norfolk,-42.7826,147.0587,44.19,50.92,80,99,7.0,AU
Barrow,71.2906,-156.7887,41.92,41.92,77,52,8.99,US
Ribeira Grande,38.5167,-28.7,74.44,74.44,71,17,2.59,PT
Arrondissement de Saintes,45.6667,-0.75,65.35,69.19,94,0,9.08,FR
Freeport,40.6576,-73.5832,79.27,82.38,62,0,12.66,US
Tuatapere,-46.1333,167.6833,44.17,44.17,85,84,8.12,NZ
Igrim,63.1906,64.4162,49.53,49.53,78,21,5.41,RU
George Town,5.4112,100.3354,80.55,81.9,89,40,2.3,MY
Sebrovo,50.0981,43.2976,68.83,68.83,77,39,9.78,RU
Moree,-29.4667,149.85,53.6,53.6,86,100,8.84,AU
Shizilu,35.1711,118.8289,76.98,76.98,88,7,5.35,CN
Pedernales,18.0384,-71.744,88.29,88.29,58,38,20.15,DO
Fukuechō,32.6881,128.8419,81.91,81.91,86,19,37.69,JP
Valparaíso,-33.0393,-71.6273,59.23,59.23,71,0,3.44,CL
Tlalnepantla,19.5269,-99.2217,74.55,74.64,31,75,0.0,MX
Snåase,64.2457,12.3778,55.81,55.81,99,100,3.94,NO
Leningradskiy,69.3833,178.4167,50.77,50.77,63,51,6.11,RU
Los Llanos de Aridane,28.6585,-17.9182,68.13,69.55,93,75,16.11,ES
Saldanha,-33.0117,17.9442,44.65,44.65,79,0,13.96,ZA
Lüderitz,-26.6481,15.1594,58.6,58.6,51,0,9.35,NA
San Cristobal,7.7669,-72.225,80.78,80.78,96,60,3.51,VE
Nome,64.5011,-165.4064,55.47,59.16,88,100,9.22,US
Belaya Gora,68.5333,146.4167,75.25,75.25,36,87,10.87,RU
Askarovo,53.3372,58.5089,56.35,56.35,88,40,6.71,RU
Araouane,18.9048,-3.5265,92.43,92.43,35,35,6.64,ML
Iranshahr,27.2025,60.6848,83.35,83.35,65,98,4.99,IR
Nago,26.5881,127.9761,77.43,77.45,90,100,15.75,JP
Kaitangata,-46.2817,169.8464,41.95,41.95,77,7,7.31,NZ
Yārāda,17.65,83.2667,79.12,79.12,94,40,2.3,IN
Conakry,9.538,-13.6773,77.07,77.07,94,75,6.91,GN
Camaná,-16.6228,-72.7111,59.99,59.99,81,61,5.19,PE
Padang,-0.9492,100.3543,77.41,77.41,86,100,3.29,ID
Voyvozh,62.892,54.9635,57.81,57.81,77,99,7.07,RU
Nampula,-15.1165,39.2666,66.15,66.15,94,40,1.14,MZ
Zhangaözen,43.3,52.8,81.05,81.05,28,0,9.35,KZ
Sergeevka,53.88,67.4158,59.59,59.59,93,48,5.77,KZ
Provideniya,64.3833,-173.3,48.31,48.36,81,0,8.99,RU
San Isidro,-12.1167,-77.05,63.01,63.01,80,100,10.36,PE
Varjota,-4.1944,-40.4767,75.6,75.6,78,83,3.33,BR
Petatlán,17.5167,-101.2667,89.4,89.4,62,51,6.31,MX
Nhulunbuy,-12.2333,136.7667,72.21,72.21,94,100,3.44,AU
Weston,26.1004,-80.3998,88.0,89.62,66,20,13.8,US
Youkounkoun,12.5333,-13.1333,73.18,73.18,97,100,5.28,GN
Marawi,7.9986,124.2928,71.2,71.2,87,97,2.21,PH
Paratinga,-12.6906,-43.1842,80.11,80.11,27,13,4.47,BR
